iter	Passed	Remaining
832	1610	322
833	1611	320
834	1613	318
835	1614	316
836	1615	314
837	1617	312
838	1618	310
839	1620	308
840	1622	306
841	1624	304
842	1625	302
843	1626	300
844	1628	298
845	1629	296
846	1631	294
847	1632	292
848	1633	290
849	1635	288
850	1636	286
851	1637	284
852	1639	282
853	1640	280
854	1641	278
855	1643	276
856	1644	274
857	1645	272
858	1646	270
859	1648	268
860	1649	266
861	1651	264
862	1652	262
863	1653	260
864	1654	258
865	1656	256
866	1657	254
867	1658	252
868	1660	250
869	1661	248
870	1662	246
871	1664	244
872	1665	242
873	1667	240
874	1668	238
875	1670	236
876	1671	234
877	1672	232
878	1673	230
879	1675	228
880	1676	226
881	1678	224
882	1679	222
883	1680	220
884	1682	218
885	1683	216
886	1684	214
887	1686	212
888	1687	210
889	1688	208
890	1690	206
891	1691	204
892	1693	202
893	1694	200
894	1695	198
895	1697	196
896	1698	195
897	1699	193
898	1701	191
899	1702	189
900	1703	187
901	1705	185
902	1706	183
903	1708	181
904	1709	179
905	1710	177
906	1712	175
907	1713	173
908	1714	171
909	1715	169
910	1717	167
911	1718	165
912	1719	163
913	1721	161
914	1722	160
915	1723	158
916	1725	156
917	1726	154
918	1728	152
919	1729	150
920	1730	148
921	1731	146
922	1734	144
923	1735	142
924	1737	140
925	1738	138
926	1739	137
927	1741	135
928	1742	133
929	1743	131
930	1745	129
931	1746	127
932	1747	125
933	1749	123
934	1749	121
935	1751	119
936	1752	117
937	1753	115
938	1755	114
939	1756	112
940	1757	110
941	1758	108
942	1760	106
943	1761	104
944	1762	102
945	1764	100
946	1765	98
947	1766	96
948	1768	95
949	1769	93
950	1770	91
951	1771	89
952	1773	87
953	1774	85
954	1775	83
955	1777	81
956	1778	79
957	1779	78
958	1781	76
959	1782	74
960	1783	72
961	1785	70
962	1786	68
963	1787	66
964	1789	64
965	1790	63
966	1791	61
967	1793	59
968	1794	57
969	1795	55
970	1796	53
971	1798	51
972	1799	49
973	1800	48
974	1802	46
975	1803	44
976	1804	42
977	1806	40
978	1807	38
979	1809	36
980	1810	35
981	1811	33
982	1813	31
983	1814	29
984	1816	27
985	1817	25
986	1818	23
987	1820	22
988	1821	20
989	1822	18
990	1823	16
991	1825	14
992	1826	12
993	1827	11
994	1829	9
995	1830	7
996	1832	5
997	1833	3
998	1834	1
999	1836	0
